DEBUG:2016-11-01 17:11:26,246:root:sofa .... 
INFO:2016-11-01 17:11:26,247:root:gettopicsqueue....
INFO:2016-11-01 17:11:26,248:root:setresponsetext....
INFO:2016-11-01 17:11:26,249:root:checkreplycondition....
INFO:2016-11-01 17:11:27,621:root:responsetopic....
DEBUG:2016-11-01 17:11:27,621:root:sofa .... 
INFO:2016-11-01 17:11:27,622:root:gettopicsqueue....
INFO:2016-11-01 17:11:27,622:root:setresponsetext....
INFO:2016-11-01 17:11:27,622:root:checkreplycondition....
INFO:2016-11-01 17:11:32,915:root:responsetopic....
DEBUG:2016-11-01 17:11:34,829:root:sofa .... 
INFO:2016-11-01 17:11:34,830:root:gettopicsqueue....
INFO:2016-11-01 17:11:34,831:root:setresponsetext....
INFO:2016-11-01 17:11:34,833:root:checkreplycondition....
INFO:2016-11-01 17:11:38,808:root:responsetopic....
DEBUG:2016-11-01 17:11:38,808:root:sofa .... 
INFO:2016-11-01 17:11:38,809:root:gettopicsqueue....
INFO:2016-11-01 17:11:38,809:root:setresponsetext....
INFO:2016-11-01 17:11:38,809:root:checkreplycondition....
INFO:2016-11-01 17:11:43,098:root:responsetopic....
DEBUG:2016-11-01 17:11:46,361:root:sofa .... 
INFO:2016-11-01 17:11:46,363:root:gettopicsqueue....
INFO:2016-11-01 17:11:46,364:root:setresponsetext....
INFO:2016-11-01 17:11:46,366:root:checkreplycondition....
INFO:2016-11-01 17:11:47,340:root:responsetopic....
DEBUG:2016-11-01 17:11:49,341:root:sofa .... 
INFO:2016-11-01 17:11:49,343:root:gettopicsqueue....
INFO:2016-11-01 17:11:49,344:root:setresponsetext....
INFO:2016-11-01 17:11:49,345:root:checkreplycondition....
INFO:2016-11-01 17:11:51,118:root:responsetopic....
DEBUG:2016-11-01 17:11:51,118:root:sofa .... 
INFO:2016-11-01 17:11:51,119:root:gettopicsqueue....
INFO:2016-11-01 17:11:51,119:root:setresponsetext....
INFO:2016-11-01 17:11:51,120:root:checkreplycondition....
INFO:2016-11-01 17:11:54,635:root:responsetopic....
DEBUG:2016-11-01 17:11:55,216:root:sofa .... 
INFO:2016-11-01 17:11:55,218:root:gettopicsqueue....
INFO:2016-11-01 17:11:55,219:root:setresponsetext....
INFO:2016-11-01 17:11:55,220:root:checkreplycondition....
INFO:2016-11-01 17:11:56,079:root:responsetopic....
DEBUG:2016-11-01 17:11:56,079:root:sofa .... 
INFO:2016-11-01 17:11:56,080:root:gettopicsqueue....
INFO:2016-11-01 17:11:56,080:root:setresponsetext....
INFO:2016-11-01 17:11:56,081:root:checkreplycondition....
INFO:2016-11-01 17:12:00,509:root:responsetopic....
DEBUG:2016-11-01 17:12:01,777:root:sofa .... 
INFO:2016-11-01 17:12:01,780:root:gettopicsqueue....
INFO:2016-11-01 17:12:01,781:root:setresponsetext....
INFO:2016-11-01 17:12:01,783:root:checkreplycondition....
INFO:2016-11-01 17:12:04,649:root:responsetopic....
DEBUG:2016-11-01 17:12:05,649:root:sofa .... 
INFO:2016-11-01 17:12:05,651:root:gettopicsqueue....
INFO:2016-11-01 17:12:05,652:root:setresponsetext....
INFO:2016-11-01 17:12:05,653:root:checkreplycondition....
INFO:2016-11-01 17:12:08,468:root:responsetopic....
DEBUG:2016-11-01 17:12:08,468:root:sofa .... 
INFO:2016-11-01 17:12:08,468:root:gettopicsqueue....
INFO:2016-11-01 17:12:08,469:root:setresponsetext....
INFO:2016-11-01 17:12:08,469:root:checkreplycondition....
INFO:2016-11-01 17:12:13,696:root:responsetopic....
DEBUG:2016-11-01 17:12:14,309:root:sofa .... 
INFO:2016-11-01 17:12:14,311:root:gettopicsqueue....
INFO:2016-11-01 17:12:14,312:root:setresponsetext....
INFO:2016-11-01 17:12:14,313:root:checkreplycondition....
